term,source,definition,langue,auto_definition,definition_finale,valide_auto
révèle pas plus,abstract,,fr,"Nous proposons que l’opposition de voix entre /s/ ~ /z/ pourrait constituer une exception à la hiérarchie de la marque pour les contrastes de voix des consonnes obstruantes (début de mot < milieu de mot < fin de mot), où la position finale de mot ne se révèle pas plus marquée que les autres","Révèle pas plus refers to Nous proposons que l’opposition de voix entre /s/ ~ /z/ pourrait constituer une exception à la hiérarchie de la marque pour les contrastes de voix des consonnes obstruantes (début de mot < milieu de mot < fin de mot), où la position finale de mot ne se révèle pas plus marquée que les autres.",oui
révèlent des,abstract,,fr,"De plus, les résultats de nos deux études révèlent des différences de voisement concernant les sibilantes morphémiques et non-morphémiques dans les productions d’anglais l2 (comme pour l’anglais l1)","Révèlent des refers to De plus, les résultats de nos deux études révèlent des différences de voisement concernant les sibilantes morphémiques et non-morphémiques dans les productions d’anglais l2 (comme pour l’anglais l1).",oui
révèlent des différences,abstract,,fr,"De plus, les résultats de nos deux études révèlent des différences de voisement concernant les sibilantes morphémiques et non-morphémiques dans les productions d’anglais l2 (comme pour l’anglais l1)","Révèlent des différences refers to De plus, les résultats de nos deux études révèlent des différences de voisement concernant les sibilantes morphémiques et non-morphémiques dans les productions d’anglais l2 (comme pour l’anglais l1).",oui
sa passation,abstract,,fr,"En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental.","Sa passation refers to En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental.",oui
sa passation mais,abstract,,fr,,"Sa passation mais est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
sampling self,abstract,,fr,,"Sampling self est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
sampling self administered,abstract,,fr,,"Sampling self administered est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
sans amorçage,abstract,,fr,"Trois conditions ont été étudiées : une condition où le rythme était cohérent avec la structure rythmique de la phrase cible, une condition où le rythme était incohérent avec la phrase cible et une condition sans amorçage","Sans amorçage refers to Trois conditions ont été étudiées : une condition où le rythme était cohérent avec la structure rythmique de la phrase cible, une condition où le rythme était incohérent avec la phrase cible et une condition sans amorçage.",oui
sans amorçage différents,abstract,,fr,,"Sans amorçage différents est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
satisfacción en,abstract,,es,"Para la recolección de datos, se empleó un cuestionario papel autoadministrado teniendo en cuenta 6 grados de satisfacción en una escala de likert","Satisfacción en refers to Para la recolección de datos, se empleó un cuestionario papel autoadministrado teniendo en cuenta 6 grados de satisfacción en una escala de likert.",oui
satisfacción en una,abstract,,es,"Para la recolección de datos, se empleó un cuestionario papel autoadministrado teniendo en cuenta 6 grados de satisfacción en una escala de likert","Satisfacción en una refers to Para la recolección de datos, se empleó un cuestionario papel autoadministrado teniendo en cuenta 6 grados de satisfacción en una escala de likert.",oui
satisfacción que,abstract,,es,"El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor","Satisfacción que refers to El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor.",oui
satisfacción que muestran,abstract,,es,"El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor","Satisfacción que muestran refers to El término de placer no está relacionado con el rendimiento académico de los estudiantes, sino con la satisfacción que muestran éstos frente a la enseñanza y a las estrategias utilizadas por el profesor.",oui
satisfaction likert,abstract,,en,,"Satisfaction likert is a concept used in the fields of linguistics, translation, or education.",non
satisfaction likert scale,abstract,,en,,"Satisfaction likert scale is a concept used in the fields of linguistics, translation, or education.",non
satisfaction regarding,abstract,,en,"The term pleasure is studied as students’ satisfaction regarding the teaching and the strategies planned by the teacher, and not their academic success.our initial hypothesis is that an in-depth preparation of activities and teaching and didactic resources, in accordance with the stages of learning, helps to promote pleasure in students, regardless of the language or content of the class.this paper is organized in three parts","Satisfaction regarding refers to The term pleasure is studied as students’ satisfaction regarding the teaching and the strategies planned by the teacher, and not their academic success.our initial hypothesis is that an in-depth preparation of activities and teaching and didactic resources, in accordance with the stages of learning, helps to promote pleasure in students, regardless of the language or content of the class.this paper is organized in three parts.",oui
satisfaction regarding teaching,abstract,,en,,"Satisfaction regarding teaching is a concept used in the fields of linguistics, translation, or education.",non
scale questionnaire,abstract,,fr,,"Scale questionnaire est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
scale questionnaire assessed,abstract,,fr,,"Scale questionnaire assessed est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
schémas périodicité,abstract,,fr,,"Schémas périodicité est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
schémas périodicité cependant,abstract,,fr,,"Schémas périodicité cependant est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
scores measure,abstract,,en,,"Scores measure is a concept used in the fields of linguistics, translation, or education.",non
scores measure overlap,abstract,,en,,"Scores measure overlap is a concept used in the fields of linguistics, translation, or education.",non
scores significant,abstract,,fr,,"Scores significant est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
scores significant predictors,abstract,,en,,"Scores significant predictors is a concept used in the fields of linguistics, translation, or education.",non
scores similar,abstract,,fr,,"Scores similar est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
